event_id,display_date,end_range,sort_year,age_ma,year_ce,nonlinear_time_bin,suggested_nonlinear_coordinate,headline,significance,event_category,knowledge_frame,regional_track,location,reef_system,why_it_matters,source_1_title,source_1_url,source_1_type,source_2_title,source_2_url,source_2_type,confidence,animation_priority,editorial_notes,category,category_group,evidence_type,is_projection,proj_year,proj_pub_year,proj_scenario,proj_quote,proj_quote_note,proj_undated,abstract_agreement,abstract_src,basic_headline,basic_significance,basic_why,basic_links
CR-097,2002,,2002.2,,2002,1998–2013,1.394452,Coral-associated bacterial communities are mapped with molecular methods,"Culture-independent surveys reveal diverse, host-associated microbiota and establish the coral microbiome as a research field.",Scientific finding,Molecular science,Global backbone,Caribbean corals,Coral holobiont,Expands the reef unit of study from coral plus algae to a multi-partner holobiont.,"Rohwer et al. (2002), Diversity and distribution of coral-associated bacteria",https://doi.org/10.3354/meps243001,Primary microbiome study,"Levin et al. (2017), Engineering strategies to decode and enhance coral symbiosis",https://doi.org/10.3389/fmicb.2017.01220,Methods/research agenda,High,Core,,Science & discovery,Knowledge,Genomic & laboratory science,,,,,,,,,,Scientists map the many bacteria that live on corals,"New molecular methods let scientists survey coral bacteria without growing them in the lab first. They found many different bacteria living with corals, which started the study of the coral microbiome, the community of tiny living things in and on a coral.","Scientists now study a reef as a coral plus its algae plus other partners, all living together.",
CR-098,2003,,2003,,2003,1998–2013,1.380211,Reef resilience framework links climate change and local human pressure,A major synthesis argues that overfishing and pollution can erode the capacity of reefs to recover from climate shocks.,Scientific finding,Published science,Global backbone,Global,Global reefs,Shapes two decades of resilience-based management.,"Hughes et al. (2003), Climate change, human impacts, and coral reef resilience",https://doi.org/10.1126/science.1085046,Synthesis/analysis,"Graham et al. (2015), Predicting climate-driven regime shifts versus rebound potential",https://doi.org/10.1038/nature14140,Primary comparative analysis,High,Core,,Science & discovery,Knowledge,Published analysis & synthesis,,,,,,,,,,Overfishing and pollution can weaken a reef's ability to recover,A major review argued that overfishing and pollution can wear down a reef's ability to bounce back from climate shocks.,It guided twenty years of management aimed at keeping reefs able to recover.,"[{""t"": ""What is climate change?"", ""u"": ""https://weather.metoffice.gov.uk/climate-change/what-is-climate-change"", ""p"": ""Met Office (UK)"", ""s"": ""Climate change and a warming ocean""}, {""t"": ""Climate change"", ""u"": ""https://www.aims.gov.au/research-topics/environmental-issues/climate-change"", ""p"": ""Australian Institute of Marine Science (AIMS)"", ""s"": ""Climate change and a warming ocean""}]"
CR-099,2004,,2004,,2004,1998–2013,1.361728,Thermally adapted symbionts are linked to greater coral heat tolerance,Field and physiological evidence shows some symbiont lineages raise host bleaching thresholds.,Scientific finding,Experimental science,Coral Triangle / Western Pacific,Guam / western Pacific,Coral–algal symbiosis,Identifies a biological source of variation in climate sensitivity.,"Rowan (2004), Thermal adaptation in reef coral symbionts",https://doi.org/10.1038/430742a,Primary experiment,"Howells et al. (2012), Local adaptation of coral-algal symbiosis to temperature",https://doi.org/10.1038/nclimate1330,Primary reciprocal-transplant study,High,Core,,Science & discovery,Knowledge,Experimental & intervention science,,,,,,,,,,Some heat-adapted algae help corals cope with warmer water,Evidence from the field and from studies of how corals work showed that some types of the tiny algae inside corals let their coral take more heat before it bleaches.,It points to a biological reason why some corals are more sensitive to climate than others.,"[{""t"": ""Breeding temperature tolerant corals for reef restoration and adaptation"", ""u"": ""https://www.aims.gov.au/research-topics/featured-projects/reef-spawning-research-aims/breeding-temperature-tolerant-corals-reef-restoration-and-adaptation"", ""p"": ""Australian Institute of Marine Science (AIMS)"", ""s"": ""Helping corals cope with heat: breeding and assisted evolution""}]"
CR-100,2004,,2004.2,,2004,1998–2013,1.357935,Great Barrier Reef rezoning greatly expands no-take protection,The Representative Areas Program places about one-third of the marine park in no-take zones.,Management milestone,Marine spatial planning,Great Barrier Reef / Coral Sea,Australia,Great Barrier Reef,One of the largest ecosystem-scale marine zoning reforms.,"GBRMPA, Representative Areas Program and 2004 zoning plan",https://www2.gbrmpa.gov.au/learn/management/zoning,Primary management record,"UNESCO World Heritage Committee, Great Barrier Reef inscription (1981)",https://whc.unesco.org/en/list/154/,Primary institutional record,High,Core,,"People, records & policy",People & policy,Law & governance,,,,,,,,,,New zones protect about a third of the Great Barrier Reef,The Representative Areas Program put about one-third of the marine park into no-take zones. No-take means nothing may be fished or collected there.,It was one of the largest changes to ocean zoning ever made across a whole ecosystem.,"[{""t"": ""About Marine Protected Areas | National Marine Protected Areas Center"", ""u"": ""https://marineprotectedareas.noaa.gov/aboutmpas/"", ""p"": ""NOAA National Marine Protected Areas Center"", ""s"": ""Marine protected areas and no-take zones""}, {""t"": ""Marine Protected Areas"", ""u"": ""https://education.nationalgeographic.org/resource/marine-protected-areas/"", ""p"": ""National Geographic Education"", ""s"": ""Marine protected areas and no-take zones""}]"
CR-101,2005,,2005,,2005,1998–2013,1.342423,Record Caribbean thermal stress and bleaching,The tropical Atlantic experiences basin-wide bleaching and substantial delayed mortality and disease.,Bleaching event,Monitoring / field observation,Caribbean / Florida,Caribbean basin,Caribbean reefs,A defining regional event before the third global episode.,"Donner et al. (2005), Global assessment of coral bleaching and required rates of adaptation",https://doi.org/10.1111/j.1365-2486.2005.01073.x,Global modelling study,"GCRMN (2021), Status of Coral Reefs of the World: 2020",https://gcrmn.net/2020-report/,Global monitoring report,High,Core,,Bleaching & heat stress,Reef change,Field observation & monitoring,,,,,,,,,,Record heat and widespread bleaching across the Caribbean,"Corals bleached right across the tropical Atlantic. A lot of coral died later on, and there was a lot of disease.",It was the defining event for the region before the third global bleaching episode.,"[{""t"": ""What is coral bleaching?"", ""u"": ""https://oceanservice.noaa.gov/facts/coral_bleach.html"", ""p"": ""NOAA Ocean Service"", ""s"": ""What coral bleaching is and why it happens""}, {""t"": ""Coral bleaching 101"", ""u"": ""https://www2.gbrmpa.gov.au/learn/reef-health/coral-bleaching"", ""p"": ""Great Barrier Reef Marine Park Authority (Reef Authority)"", ""s"": ""What coral bleaching is and why it happens""}]"
CR-102,2006,,2006,,2006,1998–2013,1.322219,Elkhorn and staghorn corals receive U.S. Endangered Species Act protection,Acropora palmata and A. cervicornis become the first corals listed as threatened under the U.S. ESA.,Management milestone,Law and governance,Caribbean / Florida,U.S. Caribbean and Florida,Caribbean Acropora reefs,Formal recognition of functional collapse in dominant reef builders.,"Carpenter et al. (2008), One-third of reef-building corals face elevated extinction risk",https://doi.org/10.1126/science.1159196,Global assessment,"Gladfelter (1982), White-band disease in Acropora  [no citable record found]",,Primary disease study,High,Core,Add the Federal Register listing as the final legal primary source.,"People, records & policy",People & policy,Law & governance,,,,,,,,,,Elkhorn and staghorn corals become protected in the United States,"Elkhorn and staghorn corals, known to scientists as Acropora palmata and A. cervicornis, were listed as threatened. They were the first corals ever listed under the U.S. Endangered Species Act.",It was official recognition that corals which build much of the reef were no longer doing that job.,
CR-103,2006,,2006.3,,2006,1998–2013,1.31597,Deep cold-water coral reefs become a mainstream conservation issue,Global syntheses document widespread deep coral frameworks threatened by trawling and extraction.,Scientific finding,Published science,Deep / cold-water corals,North Atlantic and global margins,Cold-water coral reefs,Broadens “reef conservation” beyond shallow tropical systems.,"Roberts et al. (2006), Reefs of the deep: cold-water coral ecosystems",https://doi.org/10.1126/science.1119861,Synthesis,"Freiwald et al. (2004), Cold-water Coral Reefs",https://wedocs.unep.org/20.500.11822/8727,Global assessment,High,Core,,Science & discovery,Knowledge,Published analysis & synthesis,,,,,,,,,,Deep cold-water coral reefs become a major conservation concern,"Global reviews described deep coral structures found widely around the world. They are threatened by trawling, where nets are dragged along the sea floor, and by things being taken from the sea bed.","It widened reef conservation beyond warm, shallow reefs.","[{""t"": ""Do all corals live in warm water?"", ""u"": ""https://oceanexplorer.noaa.gov/ocean-fact/coral-water/"", ""p"": ""NOAA Ocean Exploration"", ""s"": ""Cold-water and deep-sea corals""}]"
CR-104,2006,,2006.5,,2006,1998–2013,1.311754,Fishing experiments reveal herbivore-driven trophic cascades,Manipulating fish access shows that loss of grazers can promote macroalgae and impede coral recovery.,Important experiment,Field experiment,Caribbean / Florida,Bahamas,Caribbean reefs,Directly links fishing pressure to reef phase shifts.,"Mumby et al. (2006), Fishing, trophic cascades, and herbivory on coral reefs",https://doi.org/10.1126/science.1121129,Primary field experiment,"Lessios et al. (1984), Spread of Diadema mass mortality through the Caribbean",https://doi.org/10.1126/science.226.4672.335,Primary field study,High,Core,,"Experiment, method & monitoring",Knowledge,Experimental & intervention science,,,,,,,,,,Experiments show plant-eating fish help corals recover,Scientists changed which fish could reach parts of a reef. Losing the fish that graze can let large seaweeds take over and can slow coral recovery.,It directly links fishing pressure to reefs shifting into a different state.,"[{""t"": ""Sustainable Fishing"", ""u"": ""https://education.nationalgeographic.org/resource/sustainable-fishing/"", ""p"": ""National Geographic Education"", ""s"": ""Fishing pressure and overfishing on reefs""}]"
CR-105,2008,,2008,,2008,1998–2013,1.278754,Global assessment finds one-third of reef-building corals at elevated extinction risk,Species-level threat assessment identifies climate change and disease as leading risks.,Scientific finding,Global assessment,Global backbone,Global,Reef-building corals,Creates the first comprehensive global coral extinction-risk benchmark.,"Carpenter et al. (2008), One-third of reef-building corals face elevated extinction risk",https://doi.org/10.1126/science.1159196,Global assessment,"Hughes et al. (2003), Climate change, human impacts, and coral reef resilience",https://doi.org/10.1126/science.1085046,Synthesis/analysis,High,Core,,Science & discovery,Knowledge,Published analysis & synthesis,,,,,,,,,,One-third of reef-building corals face a higher risk of extinction,A global assessment looked at coral species one by one and found that one-third of reef-building corals are at raised risk of extinction. Climate change and disease were the leading risks.,It was the first full global measure of how close corals are to extinction.,"[{""t"": ""IUCN Red List of Threatened Species"", ""u"": ""https://www.iucnredlist.org/about/background-history"", ""p"": ""IUCN"", ""s"": ""Corals as threatened species""}]"
CR-106,2009–2011,field programme,2009,,2009,1998–2013,1.255273,Natural CO2 seeps show how acidification restructures reefs,Field gradients reveal reduced coral diversity and increasing dominance of non-calcifiers as pH falls.,Important experiment,Natural experiment,Coral Triangle / Western Pacific,Papua New Guinea,Shallow coral reefs,Provides an ecosystem-scale analogue for ocean acidification.,"Fabricius et al. (2011), Losers and winners in coral reefs acclimatized to elevated CO2",https://doi.org/10.1038/nclimate1122,Primary natural-analogue study,"Kroeker et al. (2013), Impacts of ocean acidification on marine organisms",https://doi.org/10.1111/gcb.12179,Meta-analysis,High,Core,,"Experiment, method & monitoring",Knowledge,Experimental & intervention science,,,,,,,,,,Natural CO2 leaks show how more acidic water changes reefs,"In places where CO2 leaks naturally into the sea, the water gradually becomes more acidic. Along those gradients there are fewer kinds of coral, and living things that do not build hard skeletons take over.","It gives a real-life example, at the size of a whole ecosystem, of ocean acidification.","[{""t"": ""What is Ocean Acidification?"", ""u"": ""https://oceanservice.noaa.gov/facts/acidification.html"", ""p"": ""NOAA Ocean Service"", ""s"": ""Ocean acidification and coral skeletons""}, {""t"": ""Ocean Acidification"", ""u"": ""https://ocean.si.edu/ocean-life/invertebrates/ocean-acidification"", ""p"": ""Smithsonian Ocean"", ""s"": ""Ocean acidification and coral skeletons""}]"
CR-107,15-May-09,,2009.37,,2009,1998–2013,1.246252,Coral Triangle Initiative launches regional political cooperation,"Six countries coordinate on reefs, fisheries and food security across the world centre of coral diversity.",Management milestone,Regional governance,Coral Triangle / Western Pacific,"Manado, Indonesia; Coral Triangle region",Coral Triangle reefs,Largest multilateral governance framework focused on the Coral Triangle.,"CTI-CFF Leaders Declaration, Manado, 15 May 2009",https://www.cticff.org/library/cti-cff-leaders-declaration,Primary intergovernmental declaration,"Cinner et al. (2016), Bright spots among the world’s coral reefs",https://doi.org/10.1038/nature18607,Primary global comparative analysis,High,Supporting,,"People, records & policy",People & policy,Law & governance,,,,,,,,,,Six countries join forces to protect the Coral Triangle,"Six countries agreed to work together on reefs, fishing and food security. Their area is the part of the world with the most kinds of coral.",It is the largest agreement between governments focused on the Coral Triangle.,
CR-108,2010,,2010,,2010,1998–2013,1.230449,Second global mass coral bleaching event,Warm anomalies across major basins produce the second formally recognized global event.,Global bleaching event,Global monitoring,Global backbone,Global tropical reefs,Global reefs,Confirms that global bleaching is recurrent rather than singular.,"NOAA Coral Reef Watch, Fourth Global Bleaching Event status update (2 June 2026)",https://coralreefwatch.noaa.gov/satellite/research/coral_bleaching_report.php,Official monitoring record,"GCRMN (2021), Status of Coral Reefs of the World: 2020",https://gcrmn.net/2020-report/,Global monitoring report,High,Core,,Bleaching & heat stress,Reef change,Field observation & monitoring,,,,,,,,,,The world's corals bleach on a global scale a second time,Unusually warm water across the major ocean basins caused the second bleaching event officially recognised as global.,"It confirmed that global bleaching happens again and again, not just once.","[{""t"": ""What is coral bleaching?"", ""u"": ""https://oceanservice.noaa.gov/facts/coral_bleach.html"", ""p"": ""NOAA Ocean Service"", ""s"": ""What coral bleaching is and why it happens""}, {""t"": ""Coral bleaching 101"", ""u"": ""https://www2.gbrmpa.gov.au/learn/reef-health/coral-bleaching"", ""p"": ""Great Barrier Reef Marine Park Authority (Reef Authority)"", ""s"": ""What coral bleaching is and why it happens""}]"
CR-109,2010,,2010.2,,2010,1998–2013,1.225309,Southeast Asia and the Andaman Sea experience severe bleaching,Large parts of the Coral Triangle and northern Indian Ocean bleach during the second global event.,Bleaching event,Monitoring / field observation,Coral Triangle / Western Pacific,Southeast Asia and Andaman Sea,Coral Triangle reefs,Major regional expression of the 2010 global event.,"GCRMN (2021), Status of Coral Reefs of the World: 2020",https://gcrmn.net/2020-report/,Global monitoring report,"NOAA Coral Reef Watch, Fourth Global Bleaching Event status update (2 June 2026)",https://coralreefwatch.noaa.gov/satellite/research/coral_bleaching_report.php,Official monitoring record,High,Core,,Bleaching & heat stress,Reef change,Field observation & monitoring,,,,,,,,,,Severe bleaching hits Southeast Asia and the Andaman Sea,Large parts of the Coral Triangle and the northern Indian Ocean bleached during the second global event.,It was how the 2010 global event showed up in this region.,"[{""t"": ""What is coral bleaching?"", ""u"": ""https://oceanservice.noaa.gov/facts/coral_bleach.html"", ""p"": ""NOAA Ocean Service"", ""s"": ""What coral bleaching is and why it happens""}, {""t"": ""Coral bleaching 101"", ""u"": ""https://www2.gbrmpa.gov.au/learn/reef-health/coral-bleaching"", ""p"": ""Great Barrier Reef Marine Park Authority (Reef Authority)"", ""s"": ""What coral bleaching is and why it happens""}]"
CR-110,2010,,2010.27,,2010,1998–2013,1.223496,United Kingdom declares the Chagos Marine Protected Area,"A very large no-take designation covers remote central Indian Ocean reef systems, amid legal, sovereignty and Chagossian-rights controversy.",Management milestone,Law and governance,Indian Ocean / Red Sea / Gulf,Chagos Archipelago,Chagos reefs,Pairs large-scale protection with unresolved questions of displacement and sovereignty.,"Government of Mauritius, Cabinet decision on the proposed Chagos Marine Protected Area, 2 April 2010",https://pmo.govmu.org/CabinetDecision/2010/Cabinet-Decisions-taken-on-2-April.aspx,Primary governmental record,"GCRMN (2021), Status of Coral Reefs of the World: 2020",https://gcrmn.net/2020-report/,Global monitoring report,High,Supporting,Any public narrative should distinguish ecological designation from the continuing sovereignty and displacement dispute.,"People, records & policy",People & policy,Law & governance,,,,,,,,,,The United Kingdom creates the huge Chagos Marine Protected Area,"A very large no-take area was declared over remote reefs in the central Indian Ocean. No-take means nothing may be caught or collected there. The decision was argued over in law, over who the islands belong to, and over the rights of the Chagossian people.","It brought protection on a very large scale, but questions about people moved away from their homes and about who the islands belong to were left unsettled.","[{""t"": ""About Marine Protected Areas | National Marine Protected Areas Center"", ""u"": ""https://marineprotectedareas.noaa.gov/aboutmpas/"", ""p"": ""NOAA National Marine Protected Areas Center"", ""s"": ""Marine protected areas and no-take zones""}, {""t"": ""Marine Protected Areas"", ""u"": ""https://education.nationalgeographic.org/resource/marine-protected-areas/"", ""p"": ""National Geographic Education"", ""s"": ""Marine protected areas and no-take zones""}]"
CR-111,2011,,2011,,2011,1998–2013,1.20412,First reef-coral genome is published,"The Acropora digitifera genome enables modern comparative genomics of calcification, immunity and stress response.",Scientific finding,Genomics,Coral Triangle / Western Pacific,"Okinawa, Japan",Acropora reefs,Creates a genomic reference for coral biology and adaptation.,"Shinzato et al. (2011), Acropora digitifera genome",https://doi.org/10.1038/nature10249,Primary genome paper,"Dixon et al. (2015), Genomic determinants of coral heat tolerance",https://doi.org/10.1126/science.1261224,Primary genomic study,High,Core,,Science & discovery,Knowledge,Genomic & laboratory science,,,,,,,,,,Scientists publish the first genome of a reef coral,"Scientists read the full set of DNA, called the genome, of the coral Acropora digitifera. That let them compare genes for building skeletons, fighting off disease and coping with stress.",It gives coral scientists a DNA reference for studying coral biology and how corals adapt.,
CR-112,2011,,2011.3,,2011,1998–2013,1.1959,Western Australia marine heatwave causes unprecedented reef loss,"Extreme warming affects reefs across thousands of kilometres, including Ningaloo and offshore systems.",Bleaching event,Monitoring / field observation,Indian Ocean / Red Sea / Gulf,Western Australia,Ningaloo and WA reefs,Shows that even relatively remote reefs can be hit by regional marine heatwaves.,"Moore et al. (2012), Unprecedented mass bleaching and loss of coral across 12° latitude in WA",https://doi.org/10.1371/journal.pone.0051807,Primary field study,"Le Nohaïc et al. (2017), Mass bleaching of thermally resistant corals in NW Australia",https://doi.org/10.1038/s41598-017-14794-y,Primary field study,High,Core,,Bleaching & heat stress,Reef change,Field observation & monitoring,,,,,,,,,,A marine heatwave causes record reef loss in Western Australia,Extreme warming affected reefs across thousands of kilometres. Ningaloo and reefs further offshore were among them.,It shows that even fairly remote reefs can be hit by heatwaves in the sea.,"[{""t"": ""Marine Heatwaves | National Marine Ecosystem Status"", ""u"": ""https://ecowatch.noaa.gov/thematic/marine-heatwaves"", ""p"": ""NOAA"", ""s"": ""Marine heatwaves: when the sea gets too hot""}]"
CR-113,2012,,2012,,2012,1998–2013,1.176091,"GBR monitoring attributes long decline to cyclones, crown-of-thorns and bleaching",A 27-year analysis quantifies drivers of coral-cover loss and estimates recovery potential without COTS.,Scientific finding,Monitoring analysis,Great Barrier Reef / Coral Sea,Great Barrier Reef,Great Barrier Reef,Landmark attribution of cumulative reef decline.,"De’ath et al. (2012), The 27-year decline of coral cover on the Great Barrier Reef",https://doi.org/10.1073/pnas.1208909109,Primary monitoring analysis,"AIMS (2025), Annual Summary Report of Coral Reef Condition 2024/25",https://www.aims.gov.au/monitoring-great-barrier-reef/gbr-condition-summary-2024-25,Official monitoring report,High,Core,,Science & discovery,Knowledge,Field observation & monitoring,,,,,,,,,,"Cyclones, crown-of-thorns starfish and bleaching drove a long reef decline",A study covering 27 years measured what was causing the Great Barrier Reef to lose coral. It also worked out how much the reef could recover without crown-of-thorns starfish.,It was a landmark study of how different pressures added up to cause the reef's decline.,"[{""t"": ""Crown-of-Thorns Starfish"", ""u"": ""https://www.aims.gov.au/research-topics/marine-life/crown-thorns-starfish"", ""p"": ""Australian Institute of Marine Science (AIMS)"", ""s"": ""Crown-of-thorns starfish outbreaks""}, {""t"": ""Crown-of-thorns starfish | Coral Reefs, Invasive Species & Predators | Britannica"", ""u"": ""https://www.britannica.com/animal/crown-of-thorns-starfish"", ""p"": ""Encyclopaedia Britannica"", ""s"": ""Crown-of-thorns starfish outbreaks""}]"
CR-114,2012,,2012.2,,2012,1998–2013,1.170262,Panoramic reef-imaging programmes create a visual baseline,"Seaview-style surveys capture georeferenced, repeatable reef imagery at unprecedented scale.",Technology / methods,Remote sensing / imaging,Global / multiple regions,Global reef regions,Global reefs,Prepares reef monitoring for automation and public visualization.,Global Reef Record / XL Catlin Seaview Survey archive,https://globalreefrecord.org/,Primary imagery/data programme,"Beijbom et al. (2012), Automated annotation of coral reef survey images",https://doi.org/10.1109/CVPR.2012.6247798,Primary computer-vision methods,High,Core,,"Experiment, method & monitoring",Knowledge,Remote sensing & imaging,,,,,,,,,,Wide-angle photo surveys create a picture record of reefs,"Survey programmes took wide, panoramic photos of reefs on a scale never reached before. Each photo is tagged with its exact position, so the same spot can be photographed again.",It got reef monitoring ready for machines to do the work and for the public to see reefs.,
CR-115,2013,,2013,,2013,1998–2013,1.146128,Meta-analysis consolidates ocean-acidification effects across taxa,"Synthesized experiments show generally negative effects on calcification, survival and development, with substantial variability.",Scientific finding,Meta-analysis,Global backbone,Global marine experiments,Reef calcifiers,Clarifies an interacting global stressor beyond warming.,"Kroeker et al. (2013), Impacts of ocean acidification on marine organisms",https://doi.org/10.1111/gcb.12179,Meta-analysis,"Eyre et al. (2018), Coral reefs will transition to net dissolving before end of century",https://doi.org/10.1126/science.aao1118,Primary field synthesis/model,High,Core,,Science & discovery,Knowledge,Published analysis & synthesis,,,,,,,,,,A big review pulls together the effects of ocean acidification,"Scientists combined the results of many experiments on ocean acidification. The effects on building skeletons, on survival and on development were mostly bad, but they varied a lot.",It makes clear that acidification is a second worldwide stress that acts along with warming.,"[{""t"": ""What is Ocean Acidification?"", ""u"": ""https://oceanservice.noaa.gov/facts/acidification.html"", ""p"": ""NOAA Ocean Service"", ""s"": ""Ocean acidification and coral skeletons""}, {""t"": ""Ocean Acidification"", ""u"": ""https://ocean.si.edu/ocean-life/invertebrates/ocean-acidification"", ""p"": ""Smithsonian Ocean"", ""s"": ""Ocean acidification and coral skeletons""}]"
CR-116,2014,,2014,,2014,2014–2026,1.113943,Assisted evolution is proposed as an explicit reef-intervention strategy,"Researchers outline selective breeding, symbiont manipulation and conditioning to accelerate climate tolerance.",Scientific finding,Intervention science,Global backbone,Global,Reef restoration,Marks a shift from conserving existing states toward actively shaping future reefs.,"van Oppen et al. (2015), Building coral reef resilience through assisted evolution",https://doi.org/10.1073/pnas.1422301112,Conceptual/experimental agenda,"Palumbi et al. (2014), Mechanisms of reef coral resistance to future climate",https://doi.org/10.1126/science.1251336,Primary genomic/physiological study,High,Core,,Science & discovery,Knowledge,Experimental & intervention science,,,,,,,,,,Scientists propose helping corals evolve faster,"Researchers set out ways to speed up how well corals cope with a warming climate. These were breeding chosen corals, changing the tiny algae inside them, and conditioning corals by exposing them to conditions in advance.",It marks a shift from protecting reefs as they are towards actively shaping what future reefs will be.,"[{""t"": ""Breeding temperature tolerant corals for reef restoration and adaptation"", ""u"": ""https://www.aims.gov.au/research-topics/featured-projects/reef-spawning-research-aims/breeding-temperature-tolerant-corals-reef-restoration-and-adaptation"", ""p"": ""Australian Institute of Marine Science (AIMS)"", ""s"": ""Helping corals cope with heat: breeding and assisted evolution""}]"
CR-117,2014–2017,to 2017,2014,,2014,2014–2026,1.113943,Third global mass coral bleaching event,Prolonged ocean heat affects reefs across all tropical basins for three consecutive years.,Global bleaching event,Global monitoring,Global backbone,Global tropical reefs,Global reefs,"At the time, the longest and most extensive global bleaching event.","NOAA Coral Reef Watch, Fourth Global Bleaching Event status update (2 June 2026)",https://coralreefwatch.noaa.gov/satellite/research/coral_bleaching_report.php,Official monitoring record,"Hughes et al. (2018), Spatial and temporal patterns of mass bleaching",https://doi.org/10.1126/science.aan8048,Primary global analysis,High,Core,,Bleaching & heat stress,Reef change,Field observation & monitoring,,,,,,,,,,Corals bleach worldwide for a third time over three years,Long-lasting ocean heat affected reefs across every tropical ocean basin for three years in a row.,"At the time, it was the longest and most widespread global bleaching event.","[{""t"": ""What is coral bleaching?"", ""u"": ""https://oceanservice.noaa.gov/facts/coral_bleach.html"", ""p"": ""NOAA Ocean Service"", ""s"": ""What coral bleaching is and why it happens""}, {""t"": ""Coral bleaching 101"", ""u"": ""https://www2.gbrmpa.gov.au/learn/reef-health/coral-bleaching"", ""p"": ""Great Barrier Reef Marine Park Authority (Reef Authority)"", ""s"": ""What coral bleaching is and why it happens""}]"
CR-118,2014,,2014.5,,2014,2014–2026,1.09691,Genomic and physiological work maps heat-resistant coral populations,Fine-scale field experiments identify heritable and acclimatory mechanisms associated with survival in hot microhabitats.,Important experiment,Genomics / physiology,Coral Triangle / Western Pacific,American Samoa,Pacific reef corals,Provides evidence that some adaptive capacity exists—but is spatially uneven.,"Palumbi et al. (2014), Mechanisms of reef coral resistance to future climate",https://doi.org/10.1126/science.1251336,Primary genomic/physiological study,"Dixon et al. (2015), Genomic determinants of coral heat tolerance",https://doi.org/10.1126/science.1261224,Primary genomic study,High,Core,,"Experiment, method & monitoring",Knowledge,Genomic & laboratory science,,,,,,,,,,Scientists find coral populations that can handle heat,"Careful field experiments looked at corals surviving in naturally hot spots. That survival was linked to two things: traits passed down from parent corals, and the corals getting used to the heat.","It shows corals have some ability to adapt, but that ability is uneven from place to place.","[{""t"": ""Breeding temperature tolerant corals for reef restoration and adaptation"", ""u"": ""https://www.aims.gov.au/research-topics/featured-projects/reef-spawning-research-aims/breeding-temperature-tolerant-corals-reef-restoration-and-adaptation"", ""p"": ""Australian Institute of Marine Science (AIMS)"", ""s"": ""Helping corals cope with heat: breeding and assisted evolution""}]"
CR-119,2015,,2015,,2015,2014–2026,1.079181,Reciprocal and genomic studies show heat tolerance is partly heritable,Larval and adult experiments identify genetic variation that can support selection under warming.,Scientific finding,Genomics / experiment,Great Barrier Reef / Coral Sea,Great Barrier Reef and Pacific,Reef corals,Underpins selective-breeding and assisted-gene-flow proposals.,"Dixon et al. (2015), Genomic determinants of coral heat tolerance",https://doi.org/10.1126/science.1261224,Primary genomic study,"Bay & Palumbi (2017), Transcriptome predictors of coral survival and growth",https://doi.org/10.1002/ece3.2685,Primary genomic study,High,Core,,Science & discovery,Knowledge,Genomic & laboratory science,,,,,,,,,,Heat tolerance in corals is partly passed down through genes,Experiments on coral larvae and adults found differences in their genes. Those differences could allow heat-tolerant corals to be selected as the ocean warms.,It supports proposals to breed tougher corals and to move helpful genes between reefs.,"[{""t"": ""Breeding temperature tolerant corals for reef restoration and adaptation"", ""u"": ""https://www.aims.gov.au/research-topics/featured-projects/reef-spawning-research-aims/breeding-temperature-tolerant-corals-reef-restoration-and-adaptation"", ""p"": ""Australian Institute of Marine Science (AIMS)"", ""s"": ""Helping corals cope with heat: breeding and assisted evolution""}]"
CR-120,2015,,2015.2,,2015,2014–2026,1.071882,ReFuGe 2020 coordinates coral genomic resources,An international consortium promotes reference genomes and standardized molecular resources for reef conservation.,Scientific programme,Genomics,Global backbone,Global,Coral genomics,Helps move coral genomics from isolated projects to comparative infrastructure.,"Voolstra et al. (2015), The ReFuGe 2020 Consortium",https://doi.org/10.3389/fmars.2015.00068,Research programme,"Shinzato et al. (2011), Acropora digitifera genome",https://doi.org/10.1038/nature10249,Primary genome paper,High,Supporting,,"Experiment, method & monitoring",Knowledge,Genomic & laboratory science,,,,,,,,,,ReFuGe 2020 brings coral DNA projects together,"An international group encouraged reference genomes, which are complete DNA sets used for comparison. It also pushed for shared standards in coral molecular work for reef conservation.",It helped turn separate coral DNA projects into shared tools that can be compared.,
CR-121,2015–2016,heatwave,2015.5,,2015,2014–2026,1.060698,Kiritimati heatwave becomes a prolonged natural experiment,Tagged colonies show contrasting resistance and recovery pathways mediated by symbionts and local disturbance.,Important experiment,Natural experiment,Central / Eastern Pacific,"Kiritimati, Kiribati",Pacific atoll reefs,Reveals that survival can involve both initial resistance and later symbiont change.,"Claar et al. (2020), Dynamic symbioses reveal pathways through prolonged heatwaves",https://doi.org/10.1038/s41467-020-19169-y,Primary natural experiment,"Rowan (2004), Thermal adaptation in reef coral symbionts",https://doi.org/10.1038/430742a,Primary experiment,High,Core,,"Experiment, method & monitoring",Knowledge,Experimental & intervention science,,,,,,,,,,A long heatwave at Kiritimati became a natural experiment,"Scientists tagged coral colonies and followed them through the heatwave. The colonies differed in how they resisted the heat and how they recovered. The tiny algae living inside the corals, and local disturbance, shaped those different paths.",It shows survival can involve resisting the heat at first and changing the tiny algae inside later.,"[{""t"": ""Marine Heatwaves | National Marine Ecosystem Status"", ""u"": ""https://ecowatch.noaa.gov/thematic/marine-heatwaves"", ""p"": ""NOAA"", ""s"": ""Marine heatwaves: when the sea gets too hot""}]"
